,arrHC,arrLocation,arrTime,day,depHC,depLocation,depTime,diagramCode,tillDate,toDate
0,5D58,BrtnUNCmd,22+21,Su,5M56,PoldieCMD,11+19,VW 501,2017-03-12,2017-05-21
1,5D44,BrtnUNCmd,00+01,MTWO,5M52,PoldieCMD,06+23,VW 501,2017-06-12,2017-05-22
2,5D44,BrtnUNCmd,00+01,ThFO,5M52,PoldieCMD,06+49,VW 501,2017-08-12,2017-05-25
3,1D90,Holyhead,19.52,SO,5D80,BrtnUNCmd,04+46,VW 501,2017-09-12,2017-05-27
4,5D60,BrtnUNCmd,21+54,Su,5P51,Crewe CS,08+59,VW 502,2017-03-12,2017-05-21
5,5S93,PoldieCMD,00+21,MTWO,5M52,PoldieCMD,06+23,VW 502,2017-06-09,2017-05-22
6,5S93,PoldieCMD,00+21,ThO,5M52,PoldieCMD,06+49,VW 502,2017-07-09,2017-05-25
7,5S93,PoldieCMD,00+36,FO,5M52,PoldieCMD,06+49,VW 502,2017-08-12,2017-05-26
8,5K38,Crewe CS,21+19,SO,5M51,PoldieCMD,07+28,VW 502,2017-09-12,2017-05-27
9,5S93,PoldieCMD,00+36,MTO,5M52,PoldieCMD,06+23,VW 502,2017-05-12,2017-11-09
10,5S93,PoldieCMD,00+21,WO,5M52,PoldieCMD,06+23,VW 502,2017-06-12,2017-09-13
11,5S93,PoldieCMD,00+21,ThO,5M52,PoldieCMD,06+49,VW 502,2017-07-12,2017-09-14
12,5D19,BrtnUNCmd,23+12,Su,5P51,Crewe CS,08+59,VW 503,2017-03-12,2017-05-21
13,5D21,BrtnUNCmd,22+42,SX,5J25,Crewe CS,06+01,VW 503,2017-08-12,2017-05-22
14,5S85,PoldieCMD,22+55,SO,5C47,Crewe CS,04+55,VW 503,2017-09-12,2017-05-27
15,5D75,BrtnUNCmd,01+05,Su,1A35,Holyhead,11.50,VW 504,2017-03-12,2017-05-21
16,5D32,BrtnUNCmd,19+38,SX,5D28,BrtnUNCmd,09+30,VW 504,2017-08-12,2017-05-22
17,5D37,BrtnUNCmd,21+02,SO,5S39,BrtnUNCmd,06+29,VW 504,2017-09-12,2017-05-27
18,1D91,Holyhead,21.03,Su,5M54,PoldieCMD,08+50,VW 505,2017-03-12,2017-05-21
19,5K77,Crewe CS,00+37,FSX,5P46,Crewe CS,04+53,VW 505,2017-07-12,2017-05-22
20,5D62,BrtnUNCmd,23+45,FO,5P46,Crewe CS,04+53,VW 505,2017-08-12,2017-05-26
21,5D37,BrtnUNCmd,21+02,SO,5S39,BrtnUNCmd,06+29,VW 505,2017-09-12,2017-05-27
22,5D58,BrtnUNCmd,22+21,Su,5M56,PoldieCMD,11+19,VW 506,2017-03-12,2017-05-21
23,5D62,BrtnUNCmd,23+45,FSX,5M48,PoldieCMD,05+16,VW 506,2017-07-12,2017-05-22
24,5D62,BrtnUNCmd,23+45,FO,5M48,PoldieCMD,05+16,VW 506,2017-08-12,2017-05-26
25,5S77,PoldieCMD,20+55,SO,5M50,PoldieCMD,05+08,VW 506,2017-09-12,2017-05-27
26,5S93,PoldieCMD,00+14,Su,5C93,Crewe CS,09+55,VW 507,2017-06-18,2017-05-21
27,5D38,BrtnUNCmd,22+57,SX,5J21,BrtnUNCmd,04+30,VW 507,2017-08-12,2017-05-22
